credit_amt,number_of_credit,new_sam_1,new_sam_0,information_gain
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
211000,1,29558,22503,0.00072428
367251,2,28144,23917,0.000696104
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
523500,7,20173,31888,0.000346735
0,0,52060,1,1.42E-07
350000,2,28212,23849,0.000704533
475000,6,22896,29165,0.000459379
480000,5,26045,26016,0.000689163
405000,6,23004,29057,0.00047009
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
119040,3,28696,23365,0.000766123
0,0,52060,1,1.42E-07
749000,5,25188,26873,0.000661744
152000,3,28508,23553,0.00076767
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
859780,4,25279,26782,0.000750157
437000,4,27065,24996,0.000764727
0,0,52060,1,1.42E-07
420000,2,27888,24173,0.000664862
497600,10,15147,36914,0.000152279
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
613910,7,19989,32072,0.000349646
180800,4,27746,24315,0.000827133
90000,1,30977,21084,0.000836129
490842,2,27581,24480,0.000676499
0,0,52060,1,1.42E-07
497700,4,26888,25173,0.000742212
403000,4,27152,24909,0.000775924
0,0,52060,1,1.42E-07
260100,5,26483,25578,0.000743254
249629,2,28676,23385,0.000687856
555553,20,6363,45698,8.84E-05
0,0,52060,1,1.42E-07
400000,2,28007,24054,0.000679289
700000,2,26567,25494,0.000753871
428848.89,10,15197,36864,0.000155362
571914,14,10939,41122,7.72E-05
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
449270,5,26110,25951,0.000697056
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
614600,8,18059,34002,0.000280171
39570,3,29016,23045,0.000680947
174500,2,29043,23018,0.000684279
471011,3,27345,24716,0.000722433
243710,3,28171,23890,0.000750076
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
490000,1,27883,24178,0.000688716
188000,6,23296,28765,0.000478042
0,0,52060,1,1.42E-07
1045000,11,11890,40171,0.000103591
400000,1,28470,23591,0.000662684
600000,2,27036,25025,0.000709418
506506,3,27203,24858,0.000704802
430840,1,28203,23858,0.000678743
150000,2,29239,22822,0.000684154
385859,5,26262,25799,0.000715696
271000,5,26465,25596,0.000740989
608000,5,25667,26394,0.000668805
449000,2,27767,24294,0.000650362
725000,3,26266,25795,0.00071619
375000,3,27695,24366,0.000766884
567100,6,22678,29383,0.000458915
629500,10,15024,37037,0.00014481
518000,10,15126,36935,0.000150992
0,0,52060,1,1.42E-07
155000,2,29166,22895,0.000699571
361112,4,27288,24773,0.000793601
0,0,52060,1,1.42E-07
1199143,3,17802,34259,0.000559223
461000,1,28018,24043,0.000656358
300000,1,29065,22996,0.000662798
406520,2,27941,24120,0.000671267
300000,2,28459,23602,0.000661354
512222,8,18222,33839,0.00029324
0,0,52060,1,1.42E-07
642000,3,26649,25412,0.000662437
536891,10,15109,36952,0.000149954
0,0,52060,1,1.42E-07
300000,4,27458,24603,0.000815997
269185,12,13035,39026,0.000118212
409000,5,26204,25857,0.000708553
0,0,52060,1,1.42E-07
376900,15,9958,42103,7.22E-05
390800,6,23026,29035,0.000472286
399343,8,18334,33727,0.000302374
588357,3,26867,25194,0.000688694
30000,1,32113,19948,0.000835718
1100000,4,20388,31673,0.000722609
400000,1,28470,23591,0.000662684
197095,1,29763,22298,0.000725476
356000,2,28182,23879,0.000700808
0,0,52060,1,1.42E-07
663491,3,26545,25516,0.000650098
0,0,52060,1,1.42E-07
35000,1,31949,20112,0.000839135
300000,1,29065,22996,0.000662798
0,0,52060,1,1.42E-07
953000,2,24672,27389,0.000754391
700000,2,26567,25494,0.000753871
549000,2,27282,24779,0.000740166
477000,2,27650,24411,0.000636505
640261,16,8755,43306,6.76E-05
356654,9,16667,35394,0.000224671
0,0,52060,1,1.42E-07
200000,1,29742,22319,0.000722787
680000,2,26657,25404,0.000765335
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
877185,17,7829,44232,9.15E-05
1681500,3,9605,42456,0.00026202
1496172,12,6082,45979,8.58E-05
1120000,12,10031,42030,0.000112794
1522664,6,9898,42163,0.000243091
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
183081,5,26618,25443,0.000734201
166100,1,30004,22057,0.000731403
416430,5,26192,25869,0.00070708
400000,1,28470,23591,0.000662684
379185,8,18345,33716,0.000303277
755000,2,26250,25811,0.00074009
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
234245,7,20522,31539,0.000377589
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
425000,9,16624,35437,0.000221566
0,0,52060,1,1.42E-07
480000,3,27320,24741,0.000719312
114500,1,30606,21455,0.000785241
956000,3,24543,27518,0.000738276
0,0,52060,1,1.42E-07
300000,1,29065,22996,0.000662798
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
280000,2,28539,23522,0.000671059
216000,2,28836,23225,0.000707761
0,0,52060,1,1.42E-07
893725,97,304,51757,3.22E-06
17600,1,32457,19604,0.000831412
537000,12,12929,39132,0.000112283
0,0,52060,1,1.42E-07
54150,1,31500,20561,0.000802775
851200,2,25617,26444,0.000793227
640000,7,19937,32124,0.00034513
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
168000,4,27788,24273,0.000832769
670554,3,26512,25549,0.000695559
554540,9,16500,35561,0.000212719
1407000,26,2472,49589,1.73E-05
0,0,52060,1,1.42E-07
339581,11,14010,38051,0.000123805
294000,3,27991,24070,0.000727196
0,0,52060,1,1.42E-07
670000,8,17947,34114,0.000271347
0,0,52060,1,1.42E-07
485083,3,27302,24759,0.00071707
765000,1,26358,25703,0.000753706
800000,14,10763,41298,6.88E-05
0,0,52060,1,1.42E-07
2013590,3,6935,45126,0.000127075
0,0,52060,1,1.42E-07
717035,3,26300,25761,0.000720396
24280,2,30188,21873,0.000680876
90000,1,30977,21084,0.000836129
0,0,52060,1,1.42E-07
602000,2,27009,25052,0.000706085
522125,8,18200,33861,0.00029146
0,0,52060,1,1.42E-07
367251,2,28144,23917,0.000696104
1979100,3,7255,44806,0.000150884
1168000,4,18520,33541,0.000613069
0,0,52060,1,1.42E-07
517000,3,27157,24904,0.00069914
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
600000,2,27036,25025,0.000709418
783000,5,25041,27020,0.000644483
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
475000,6,22896,29165,0.000459379
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
352664,3,27765,24296,0.000775945
178175,3,28403,23658,0.00075408
0,0,52060,1,1.42E-07
190155,2,28968,23093,0.000675046
437000,4,27065,24996,0.000764727
1256000,12,8387,43674,0.00011134
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
530400,5,25899,26162,0.000671602
60000,1,31404,20657,0.000789602
20000,1,32379,19682,0.000820346
410000,1,28286,23775,0.000688918
0,0,52060,1,1.42E-07
529000,5,25904,26157,0.0006722
0,0,52060,1,1.42E-07
350000,2,28212,23849,0.000704533
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
800000,3,25863,26198,0.000692355
1120000,3,19885,32176,0.000718493
430840,1,28203,23858,0.000678743
585000,7,20056,32005,0.000355503
467094.89,11,13954,38107,0.000120648
601289,16,8767,43294,6.82E-05
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
100000,1,30868,21193,0.000820987
0,0,52060,1,1.42E-07
484580,13,11980,40081,7.50E-05
531700,3,27094,24967,0.000691425
1403000,15,5410,46651,8.97E-05
0,0,52060,1,1.42E-07
100000,1,30868,21193,0.000820987
996000,11,12702,39359,0.000124455
346330,4,27319,24742,0.00079766
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
